0.000000 0.000000 0.055827 -1.080179		2.517134	0.735914	0.000000
0.083806 0.000000 0.757617 -1.080179		2.783784	0.735914	-0.649159
0.188359 0.000000 1.633138 -1.080179		3.116445	0.735914	-1.459020
0.292621 0.000000 2.506228 -1.080179		3.448181	0.735914	-2.266632
0.396503 0.000000 3.376134 -1.080179		3.778708	0.735914	-3.071298
0.499880 0.000000 4.241814 -1.080179		4.107629	0.735914	-3.872056
0.602580 0.000000 5.101816 -1.080179		4.434393	0.735914	-4.667561
0.704357 0.000000 5.954099 -1.080179		4.758224	0.735914	-5.455927
0.804870 0.000000 6.795790 -1.080179		5.078030	0.735914	-6.234494
0.903637 0.000000 7.622867 -1.080179		5.392283	0.735914	-6.999544
1.000000 0.000000 8.429807 -1.080179		5.698886	0.735914	-7.745967


0.000000 0.183673 0.055827 -0.959065		2.517134	0.614800	0.000000
0.083806 0.183673 0.757617 -0.959065		2.783784	0.614800	-0.649159
0.188359 0.183673 1.633138 -0.959065		3.116445	0.614800	-1.459020
0.292621 0.183673 2.506228 -0.959065		3.448181	0.614800	-2.266632
0.396503 0.183673 3.376134 -0.959065		3.778708	0.614800	-3.071298
0.499880 0.183673 4.241814 -0.959065		4.107629	0.614800	-3.872056
0.602580 0.183673 5.101816 -0.959065		4.434393	0.614800	-4.667561
0.704357 0.183673 5.954099 -0.959065		4.758224	0.614800	-5.455927
0.804870 0.183673 6.795790 -0.959065		5.078030	0.614800	-6.234494
0.903637 0.183673 7.622867 -0.959065		5.392283	0.614800	-6.999544
1.000000 0.183673 8.429807 -0.959065		5.698886	0.614800	-7.745967


0.000000 0.387755 0.055827 -0.824493		2.517134	0.480228	0.000000
0.083806 0.387755 0.757617 -0.824493		2.783784	0.480228	-0.649159
0.188359 0.387755 1.633138 -0.824493		3.116445	0.480228	-1.459020
0.292621 0.387755 2.506228 -0.824493		3.448181	0.480228	-2.266632
0.396503 0.387755 3.376134 -0.824493		3.778708	0.480228	-3.071298
0.499880 0.387755 4.241814 -0.824493		4.107629	0.480228	-3.872056
0.602580 0.387755 5.101816 -0.824493		4.434393	0.480228	-4.667561
0.704357 0.387755 5.954099 -0.824493		4.758224	0.480228	-5.455927
0.804870 0.387755 6.795790 -0.824493		5.078030	0.480228	-6.234494
0.903637 0.387755 7.622867 -0.824493		5.392283	0.480228	-6.999544
1.000000 0.387755 8.429807 -0.824493		5.698886	0.480228	-7.745967


0.000000 0.591837 0.055827 -0.689922		2.517134	0.345656	0.000000
0.083806 0.591837 0.757617 -0.689922		2.783784	0.345656	-0.649159
0.188359 0.591837 1.633138 -0.689922		3.116445	0.345656	-1.459020
0.292621 0.591837 2.506228 -0.689922		3.448181	0.345656	-2.266632
0.396503 0.591837 3.376134 -0.689922		3.778708	0.345656	-3.071298
0.499880 0.591837 4.241814 -0.689922		4.107629	0.345656	-3.872056
0.602580 0.591837 5.101816 -0.689922		4.434393	0.345656	-4.667561
0.704357 0.591837 5.954099 -0.689922		4.758224	0.345656	-5.455927
0.804870 0.591837 6.795790 -0.689922		5.078030	0.345656	-6.234494
0.903637 0.591837 7.622867 -0.689922		5.392283	0.345656	-6.999544
1.000000 0.591837 8.429807 -0.689922		5.698886	0.345656	-7.745967


0.000000 0.795918 0.055827 -0.555350		2.517134	0.211085	0.000000
0.083806 0.795918 0.757617 -0.555350		2.783784	0.211085	-0.649159
0.188359 0.795918 1.633138 -0.555350		3.116445	0.211085	-1.459020
0.292621 0.795918 2.506228 -0.555350		3.448181	0.211085	-2.266632
0.396503 0.795918 3.376134 -0.555350		3.778708	0.211085	-3.071298
0.499880 0.795918 4.241814 -0.555350		4.107629	0.211085	-3.872056
0.602580 0.795918 5.101816 -0.555350		4.434393	0.211085	-4.667561
0.704357 0.795918 5.954099 -0.555350		4.758224	0.211085	-5.455927
0.804870 0.795918 6.795790 -0.555350		5.078030	0.211085	-6.234494
0.903637 0.795918 7.622867 -0.555350		5.392283	0.211085	-6.999544
1.000000 0.795918 8.429807 -0.555350		5.698886	0.211085	-7.745967


0.000000 1.000000 0.055827 -0.420778		2.517134	0.076513	0.000000
0.083806 1.000000 0.757617 -0.420778		2.783784	0.076513	-0.649159
0.188359 1.000000 1.633138 -0.420778		3.116445	0.076513	-1.459020
0.292621 1.000000 2.506228 -0.420778		3.448181	0.076513	-2.266632
0.396503 1.000000 3.376134 -0.420778		3.778708	0.076513	-3.071298
0.499880 1.000000 4.241814 -0.420778		4.107629	0.076513	-3.872056
0.602580 1.000000 5.101816 -0.420778		4.434393	0.076513	-4.667561
0.704357 1.000000 5.954099 -0.420778		4.758224	0.076513	-5.455927
0.804870 1.000000 6.795790 -0.420778		5.078030	0.076513	-6.234494
0.903637 1.000000 7.622867 -0.420778		5.392283	0.076513	-6.999544
1.000000 1.000000 8.429807 -0.420778		5.698886	0.076513	-7.745967


